tahun,bulan,bentuk_kekerasan,jumlah_korban_kekerasan_perempuan_anak_berdasarkan_bentuk_kekerasan,yearmonth
2020,January,Kekerasan Fisik,36,2020-01
2020,January,Kekerasan Psikis,42,2020-01
2020,January,Kekerasan Seksual,40,2020-01
2020,January,Penelantaran Rumah Tangga,3,2020-01
2020,February,Kekerasan Fisik,15,2020-02
2020,February,Kekerasan Psikis,26,2020-02
2020,February,Kekerasan Seksual,1,2020-02
2020,February,Penelantaran Rumah Tangga,8,2020-02
2020,March,Kekerasan Fisik,23,2020-03
2020,March,Kekerasan Psikis,20,2020-03
2020,March,Kekerasan Seksual,21,2020-03
2020,March,Penelantaran Rumah Tangga,3,2020-03
2020,April,Kekerasan Fisik,12,2020-04
2020,April,Kekerasan Psikis,26,2020-04
2020,April,Kekerasan Seksual,11,2020-04
2020,April,Penelantaran Rumah Tangga,1,2020-04
2020,May,Kekerasan Fisik,21,2020-05
2020,May,Kekerasan Psikis,18,2020-05
2020,May,Kekerasan Seksual,8,2020-05
2020,May,Penelantaran Rumah Tangga,2,2020-05
2020,June,Kekerasan Fisik,32,2020-06
2020,June,Kekerasan Psikis,36,2020-06
2020,June,Kekerasan Seksual,8,2020-06
2020,June,Penelantaran Rumah Tangga,7,2020-06
2020,July,Kekerasan Fisik,25,2020-07
2020,July,Kekerasan Psikis,29,2020-07
2020,July,Kekerasan Seksual,4,2020-07
2020,July,Penelantaran Rumah Tangga,10,2020-07
2020,August,Kekerasan Fisik,29,2020-08
2020,August,Kekerasan Psikis,30,2020-08
2020,August,Kekerasan Seksual,2,2020-08
2020,August,Penelantaran Rumah Tangga,9,2020-08
2020,September,Kekerasan Fisik,24,2020-09
2020,September,Kekerasan Psikis,31,2020-09
2020,September,Kekerasan Seksual,2,2020-09
2020,September,Penelantaran Rumah Tangga,11,2020-09
2020,October,Kekerasan Fisik,17,2020-10
2020,October,Kekerasan Psikis,19,2020-10
2020,October,Kekerasan Seksual,4,2020-10
2020,October,Penelantaran Rumah Tangga,2,2020-10
2020,November,Kekerasan Fisik,28,2020-11
2020,November,Kekerasan Psikis,29,2020-11
2020,November,Kekerasan Seksual,4,2020-11
2020,November,Penelantaran Rumah Tangga,4,2020-11
2020,December,Kekerasan Fisik,23,2020-12
2020,December,Kekerasan Psikis,22,2020-12
2020,December,Kekerasan Seksual,10,2020-12
2020,December,Penelantaran Rumah Tangga,4,2020-12
