tahun,bulan,pelaku_kekerasan,jumlah_korban_kekerasan_terhadap_perempuan_dan_anak_berdasarkan_pelaku_kekerasan,yearmonth
2020,January,Orang Tua,9,2020-01
2020,January,Keluarga,8,2020-01
2020,January,Suami,29,2020-01
2020,January,Lainnya,36,2020-01
2020,January,Pacar,9,2020-01
2020,January,Tetangga,11,2020-01
2020,February,Orang Tua,6,2020-02
2020,February,Keluarga,5,2020-02
2020,February,Suami,29,2020-02
2020,February,Lainnya,37,2020-02
2020,February,Pacar,3,2020-02
2020,February,Tetangga,5,2020-02
2020,March,Orang Tua,6,2020-03
2020,March,Keluarga,7,2020-03
2020,March,Suami,36,2020-03
2020,March,Lainnya,51,2020-03
2020,March,Pacar,9,2020-03
2020,March,Tetangga,14,2020-03
2020,April,Orang Tua,11,2020-04
2020,April,Keluarga,5,2020-04
2020,April,Suami,21,2020-04
2020,April,Lainnya,10,2020-04
2020,April,Pacar,3,2020-04
2020,April,Tetangga,4,2020-04
2020,May,Orang Tua,4,2020-05
2020,May,Keluarga,4,2020-05
2020,May,Suami,21,2020-05
2020,May,Lainnya,5,2020-05
2020,May,Pacar,9,2020-05
2020,May,Tetangga,2,2020-05
2020,June,Orang Tua,8,2020-06
2020,June,Keluarga,0,2020-06
2020,June,Suami,33,2020-06
2020,June,Lainnya,41,2020-06
2020,June,Pacar,0,2020-06
2020,June,Tetangga,0,2020-06
2020,July,Orang Tua,10,2020-07
2020,July,Keluarga,5,2020-07
2020,July,Suami,22,2020-07
2020,July,Lainnya,9,2020-07
2020,July,Pacar,5,2020-07
2020,July,Tetangga,3,2020-07
2020,August,Orang Tua,9,2020-08
2020,August,Keluarga,1,2020-08
2020,August,Suami,19,2020-08
2020,August,Lainnya,8,2020-08
2020,August,Pacar,2,2020-08
2020,August,Tetangga,7,2020-08
2020,September,Orang Tua,1,2020-09
2020,September,Keluarga,2,2020-09
2020,September,Suami,18,2020-09
2020,September,Lainnya,3,2020-09
2020,September,Pacar,3,2020-09
2020,September,Tetangga,2,2020-09
2020,October,Orang Tua,3,2020-10
2020,October,Keluarga,0,2020-10
2020,October,Suami,24,2020-10
2020,October,Lainnya,1,2020-10
2020,October,Pacar,1,2020-10
2020,October,Tetangga,0,2020-10
2020,November,Orang Tua,7,2020-11
2020,November,Keluarga,3,2020-11
2020,November,Suami,28,2020-11
2020,November,Lainnya,9,2020-11
2020,November,Pacar,3,2020-11
2020,November,Tetangga,4,2020-11
2020,December,Orang Tua,2,2020-12
2020,December,Keluarga,2,2020-12
2020,December,Suami,13,2020-12
2020,December,Lainnya,9,2020-12
2020,December,Pacar,2,2020-12
2020,December,Tetangga,1,2020-12
