tahun,bulan,jenis_kelamin,jumlah_klien,yearmonth
2019.0,January,Perempuan,36.0,2019-01
2019.0,January,Anak Perempuan,26.0,2019-01
2019.0,January,Anak Laki-laki,15.0,2019-01
2019.0,February,Perempuan,58.0,2019-02
2019.0,February,Anak Perempuan,22.0,2019-02
2019.0,February,Anak Laki-laki,19.0,2019-02
2019.0,March,Perempuan,36.0,2019-03
2019.0,March,Anak Perempuan,36.0,2019-03
2019.0,March,Anak Laki-laki,29.0,2019-03
2019.0,April,Perempuan,32.0,2019-04
2019.0,April,Anak Perempuan,32.0,2019-04
2019.0,April,Anak Laki-laki,11.0,2019-04
2019.0,May,Perempuan,29.0,2019-05
2019.0,May,Anak Perempuan,27.0,2019-05
2019.0,May,Anak Laki-laki,16.0,2019-05
2019.0,June,Perempuan,14.0,2019-06
2019.0,June,Anak Perempuan,8.0,2019-06
2019.0,June,Anak Laki-laki,4.0,2019-06
2019.0,July,Perempuan,57.0,2019-07
2019.0,July,Anak Perempuan,32.0,2019-07
2019.0,July,Anak Laki-laki,24.0,2019-07
2019.0,August,Perempuan,45.0,2019-08
2019.0,August,Anak Perempuan,22.0,2019-08
2019.0,August,Anak Laki-laki,8.0,2019-08
2019.0,September,Perempuan,39.0,2019-09
2019.0,September,Anak Perempuan,33.0,2019-09
2019.0,September,Anak Laki-laki,13.0,2019-09
2019.0,October,Perempuan,41.0,2019-10
2019.0,October,Anak Perempuan,42.0,2019-10
2019.0,October,Anak Laki-laki,62.0,2019-10
2019.0,November,Perempuan,33.0,2019-11
2019.0,November,Anak Perempuan,28.0,2019-11
2019.0,November,Anak Laki-laki,14.0,2019-11
2019.0,December,Perempuan,23.0,2019-12
2019.0,December,Anak Perempuan,22.0,2019-12
2019.0,December,Anak Laki-laki,11.0,2019-12
,, ,,
