tahun,bulan,usia_klien_dan_pelaku,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_pelaku,jumlah_korban_kekerasan_thd_perempuan_anak_berdasarkan_usia_klien,yearmonth
2020,January,0 - 17 thn,4,69,2020-01
2020,January,18 - 24 thn,2,11,2020-01
2020,January,25 - 59 thn,92,18,2020-01
2020,January,60 +,4,4,2020-01
2020,February,0 - 17 thn,2,47,2020-02
2020,February,18 - 24 thn,6,15,2020-02
2020,February,25 - 59 thn,77,23,2020-02
2020,February,60 +,0,0,2020-02
2020,March,0 - 17 thn,5,62,2020-03
2020,March,18 - 24 thn,19,35,2020-03
2020,March,25 - 59 thn,56,26,2020-03
2020,March,60 +,2,0,2020-03
2020,April,0 - 17 thn,0,27,2020-04
2020,April,18 - 24 thn,9,5,2020-04
2020,April,25 - 59 thn,43,22,2020-04
2020,April,60 +,0,0,2020-04
2020,May,0 - 17 thn,6,21,2020-05
2020,May,18 - 24 thn,3,5,2020-05
2020,May,25 - 59 thn,36,19,2020-05
2020,May,60 +,0,0,2020-05
2020,June,0 - 17 thn,0,59,2020-06
2020,June,18 - 24 thn,0,32,2020-06
2020,June,25 - 59 thn,34,40,2020-06
2020,June,60 +,0,0,2020-06
2020,July,0 - 17 thn,2,53,2020-07
2020,July,18 - 24 thn,5,9,2020-07
2020,July,25 - 59 thn,36,29,2020-07
2020,July,60 +,1,0,2020-07
2020,August,0 - 17 thn,1,38,2020-08
2020,August,18 - 24 thn,11,9,2020-08
2020,August,25 - 59 thn,33,30,2020-08
2020,August,60 +,1,1,2020-08
2020,September,0 - 17 thn,0,23,2020-09
2020,September,18 - 24 thn,11,10,2020-09
2020,September,25 - 59 thn,17,25,2020-09
2020,September,60 +,1,1,2020-09
2020,October,0 - 17 thn,0,20,2020-10
2020,October,18 - 24 thn,3,6,2020-10
2020,October,25 - 59 thn,26,18,2020-10
2020,October,60 +,0,0,2020-10
2020,November,0 - 17 thn,2,41,2020-11
2020,November,18 - 24 thn,10,8,2020-11
2020,November,25 - 59 thn,41,23,2020-11
2020,November,60 +,1,0,2020-11
2020,December,0 - 17 thn,0,34,2020-12
2020,December,18 - 24 thn,7,6,2020-12
2020,December,25 - 59 thn,39,21,2020-12
2020,December,60 +,3,2,2020-12
